"","from","to","type","subtype"
"2","hsa:55586","hsa:10720","ECrel","compound"
"21","hsa:55586","hsa:10941","ECrel","compound"
"3","hsa:55586","hsa:54490","ECrel","compound"
"14","hsa:55586","hsa:7363","ECrel","compound"
"15","hsa:55586","hsa:7364","ECrel","compound"
"16","hsa:55586","hsa:7365","ECrel","compound"
"17","hsa:55586","hsa:7366","ECrel","compound"
"18","hsa:55586","hsa:7367","ECrel","compound"
"19","hsa:55586","hsa:79799","ECrel","compound"
"20","hsa:55586","hsa:2990","ECrel","compound"
"211","hsa:55586","hsa:9365","ECrel","compound"
"22","hsa:7358","hsa:10720","ECrel","compound"
"23","hsa:7358","hsa:10941","ECrel","compound"
"24","hsa:7358","hsa:54490","ECrel","compound"
"35","hsa:7358","hsa:7363","ECrel","compound"
"36","hsa:7358","hsa:7364","ECrel","compound"
"37","hsa:7358","hsa:7365","ECrel","compound"
"38","hsa:7358","hsa:7366","ECrel","compound"
"39","hsa:7358","hsa:7367","ECrel","compound"
"40","hsa:7358","hsa:79799","ECrel","compound"
"41","hsa:10720","hsa:2990","ECrel","compound"
"42","hsa:10720","hsa:9365","ECrel","compound"
"43","hsa:10941","hsa:2990","ECrel","compound"
"44","hsa:10941","hsa:9365","ECrel","compound"
"45","hsa:54490","hsa:2990","ECrel","compound"
"46","hsa:54490","hsa:9365","ECrel","compound"
"67","hsa:7363","hsa:2990","ECrel","compound"
"68","hsa:7363","hsa:9365","ECrel","compound"
"69","hsa:7364","hsa:2990","ECrel","compound"
"70","hsa:7364","hsa:9365","ECrel","compound"
"71","hsa:7365","hsa:2990","ECrel","compound"
"72","hsa:7365","hsa:9365","ECrel","compound"
"73","hsa:7366","hsa:2990","ECrel","compound"
"74","hsa:7366","hsa:9365","ECrel","compound"
"75","hsa:7367","hsa:2990","ECrel","compound"
"76","hsa:7367","hsa:9365","ECrel","compound"
"77","hsa:79799","hsa:2990","ECrel","compound"
"78","hsa:79799","hsa:9365","ECrel","compound"
"79","hsa:10327","hsa:9104","ECrel","compound"
"80","hsa:10327","hsa:55586","ECrel","compound"
"81","hsa:10327","hsa:10720","ECrel","compound"
"82","hsa:10327","hsa:10941","ECrel","compound"
"83","hsa:10327","hsa:54490","ECrel","compound"
"94","hsa:10327","hsa:7363","ECrel","compound"
"95","hsa:10327","hsa:7364","ECrel","compound"
"96","hsa:10327","hsa:7365","ECrel","compound"
"97","hsa:10327","hsa:7366","ECrel","compound"
"98","hsa:10327","hsa:7367","ECrel","compound"
"99","hsa:10327","hsa:79799","ECrel","compound"
"100","hsa:10327","hsa:2990","ECrel","compound"
"101","hsa:10327","hsa:9365","ECrel","compound"
