"","from","to","type","subtype"
"2","hsa:1605","hsa:1605","PPrel","binding/association"
"21","hsa:1605","hsa:1756","PPrel","binding/association"
"3","hsa:1605","hsa:1756","PPrel","missing interaction"
"4","hsa:284217","hsa:1605","PPrel","binding/association"
"6","hsa:1756","hsa:60","PPrel","binding/association"
"7","hsa:1756","hsa:60","PPrel","missing interaction"
"8","hsa:1756","hsa:71","PPrel","binding/association"
"9","hsa:1756","hsa:71","PPrel","missing interaction"
"10","hsa:1604","hsa:2534","PPrel","activation"
"11","hsa:1604","hsa:2534","PPrel","indirect effect"
"12","hsa:1604","hsa:25","PPrel","activation"
"13","hsa:1604","hsa:25","PPrel","indirect effect"
"14","hsa:1604","hsa:27","PPrel","activation"
"15","hsa:1604","hsa:27","PPrel","indirect effect"
"16","hsa:959","hsa:958","PPrel","activation"
"17","hsa:941","hsa:940","PPrel","activation"
"18","hsa:942","hsa:940","PPrel","activation"
"19","hsa:841","hsa:637","PPrel","activation"
"23","hsa:842","hsa:836","PPrel","activation"
"24","hsa:3383","hsa:3683","PPrel","activation"
"25","hsa:3383","hsa:3689","PPrel","activation"
"26","hsa:2534","hsa:857","PPrel","activation"
"27","hsa:2534","hsa:857","PPrel","phosphorylation"
"28","hsa:25","hsa:5879","PPrel","activation"
"30","hsa:25","hsa:5881","PPrel","activation"
"31","hsa:27","hsa:5879","PPrel","activation"
"33","hsa:27","hsa:5881","PPrel","activation"
